Date Published,Product Title,Advisory Title,Category,Post Link
30 August 2024,frudia blueberry hydrating mask natural origin botanical sheet mask,FDA Advisory No.2024-1197 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic “FRUDIA BLUEBERRY HYDRATING MASK NATURAL ORIGIN BOTANICAL SHEET MASK”,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2024-1197-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-frudia-blueberry-hydrating-mask-natural-origin-botanical-sheet-mask/
30 August 2024,kwailnara strawberry milk vitalizing mask real strawberry extract,FDA Advisory No.2024-1196 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic “KWAILNARA STRAWBERRY MILK VITALIZING MASK REAL STRAWBERRY EXTRACT”,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2024-1196-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-kwailnara-strawberry-milk-vitalizing-mask-real-strawberry-extract/
30 August 2024,the ordinary granactive retinoid 2 emulsion,FDA Advisory No.2024-1195 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic “THE ORDINARY GRANACTIVE RETINOID 2% EMULSION”,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2024-1195-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-the-ordinary-granactive-retinoid-2-emulsion/
30 August 2024,the ordinary lactic acid 5 ha,FDA Advisory No.2024-1194 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic “THE ORDINARY LACTIC ACID 5% + HA”,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2024-1194-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-the-ordinary-lactic-acid-5-ha/
30 August 2024,eyenlip beauty acai berry mask,FDA Advisory No.2024-1193 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic “EYENLIP BEAUTY ACAI BERRY MASK”,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2024-1193-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-eyenlip-beauty-acai-berry-mask/
30 August 2024,lucky super soft body cream cocoa butter,FDA Advisory No.2024-1192 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic “LUCKY SUPER SOFT BODY CREAM (COCOA BUTTER)”,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2024-1192-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-lucky-super-soft-body-cream-cocoa-butter/
30 August 2024,meow anney inspired scent,FDA Advisory No.2024-1191 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic “MEOW ANNEY INSPIRED SCENT”,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2024-1191-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-meow-anney-inspired-scent/
30 August 2024,omega guava soap with tea tree oil,FDA Advisory No.2024-1219 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic “OMEGA GUAVA SOAP WITH TEA TREE OIL”,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2024-1219-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-omega-guava-soap-with-tea-tree-oil/
30 August 2024,anney gingham blue inspired scent,FDA Advisory No.2024-1218 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic “ANNEY GINGHAM BLUE INSPIRED SCENT”,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2024-1218-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-anney-gingham-blue-inspired-scent/
30 August 2024,pureskin pink clarifying toner,FDA Advisory No.2024-1217 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic “PURESKIN PINK CLARIFYING TONER”,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2024-1217-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-pureskin-pink-clarifying-toner/
30 August 2024,skintrends the acne treatment asr advance super revitalizer,FDA Advisory No.2024-1216 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic “SKINTRENDS THE ACNE TREATMENT ASR ADVANCE SUPER REVITALIZER”,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2024-1216-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-skintrends-the-acne-treatment-asr-advance-super-revitalizer/
30 August 2024,skintrends hyalift serum,FDA Advisory No.2024-1215 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic “SKINTRENDS HYALIFT SERUM”,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2024-1215-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-skintrends-hyalift-serum/
30 August 2024,nu pore k beauty supple surge cica relief serum,FDA Advisory No.2024-1214 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic “NU PORE K-BEAUTY SUPPLE SURGE CICA RELIEF SERUM”,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2024-1214-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-nu-pore-k-beauty-supple-surge-cica-relief-serum/
30 August 2024,lucky super soft body cream aloe vera,FDA Advisory No.2024-1213 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic “LUCKY SUPER SOFT BODY CREAM (ALOE VERA)”,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2024-1213-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-lucky-super-soft-body-cream-aloe-vera/
30 August 2024,frudia avocado relief mask,FDA Advisory No.2024-1212 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic “FRUDIA AVOCADO RELIEF MASK”,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2024-1212-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-frudia-avocado-relief-mask/
30 August 2024,eyenlip beauty like nature vegan mask blueberry,FDA Advisory No.2024-1211 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic “EYENLIP BEAUTY LIKE NATURE. VEGAN MASK (BLUEBERRY)”,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2024-1211-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-eyenlip-beauty-like-nature-vegan-mask-blueberry/
30 August 2024,eyenlip beauty like nature vegan mask pomegranate,FDA Advisory No.2024-1210 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic “EYENLIP BEAUTY LIKE NATURE. VEGAN MASK (POMEGRANATE)”,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2024-1210-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-eyenlip-beauty-like-nature-vegan-mask-pomegranate/
30 August 2024,derma e anti wrinkle anti aging regenerative day cream vitamin a antioxidant blend,FDA Advisory No.2024-1209 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic “DERMA-E ANTI-WRINKLE ANTI-AGING REGENERATIVE DAY CREAM VITAMIN A & ANTIOXIDANT BLEND”,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2024-1209-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-derma-e-anti-wrinkle-anti-aging-regenerative-day-cream-vitamin-a-antioxidant-blend/
30 August 2024,ce vitamin c e serum,FDA Advisory No.2024-1208 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic “CE VITAMIN C&E SERUM”,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2024-1208-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-ce-vitamin-ce-serum/
30 August 2024,ellen ella retinol serum,FDA Advisory No.2024-1207 || Public Health Warning Against the Purchase and Use of Unnotified Cosmetic “ELLEN ELLA RETINOL SERUM”,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2024-1207-public-health-warning-against-the-purchase-and-use-of-unnotified-cosmetic-ellen-ella-retinol-serum/
30 August 2024,ponds white beauty advanced spf 15 pa,FDA Advisory No.2024-1206 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic “POND’S WHITE BEAUTY ADVANCED SPF 15 PA++”,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2024-1206-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-ponds-white-beauty-advanced-spf-15-pa/
30 August 2024,chap ice lip balm spf 15 moisture,FDA Advisory No.2024-1183 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic “CHAP ICE LIP BALM SPF 15 MOISTURE”,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2024-1183-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-chap-ice-lip-balm-spf-15-moisture/
